pid	cui	drugterm	source
58	C0037473    	sodium	RXNorm
59	C1587944    	terrell	RXNorm
60	C0043481    	zinc	RXNorm
61	C0728774    	vaseline	RXNorm
62	C0043339    	xenon	RXNorm
63	C0699142    	tylenol	RXNorm
64	C0006675    	calcium	RXNorm
65	C0030230    	palladium	RXNorm
66	C2729913    	marquis	RXNorm
67	C2341465    	bayer	RXNorm
68	C0718674    	ascot	RXNorm
69	C0008209    	chlorine	RXNorm
70	C0020740    	ibuprofen	RXNorm
71	C2949227    	schiff	RXNorm
72	C0939533    	yasmin	RXNorm
73	C1696465    	placebo	RXNorm
74	C0728749    	redux	RXNorm
75	C3540676    	blockade	RXNorm
76	C0026549    	morphine	RXNorm
77	C0033434    	propane	RXNorm
78	C0700899    	benadryl	RXNorm
79	C0967376    	cialis	RXNorm
80	C2350041    	tabloid	RXNorm
81	C0001771    	agar	RXNorm
82	C0017725    	glucose	RXNorm
83	C0025219    	melatonin	RXNorm
84	C0009325    	collagen	RXNorm
85	C0004057    	aspirin	RXNorm
86	C0066503    	mica	RXNorm
87	C2948901    	sepp	RXNorm
88	C2345900    	colgate	RXNorm
89	C0024467    	magnesium	RXNorm
90	C0064658    	lard	RXNorm
91	C2702015    	tourmaline	RXNorm
92	C3204590    	propel	RXNorm
93	C0028158    	nitrogen	RXNorm
94	C0032821    	potassium	RXNorm
95	C0033684    	proteins	RXNorm
96	C0938430    	sea salt	RXNorm
97	C1366066    	shea butter	RXNorm
98	C4271504    	coconut water	RXNorm
99	C0452457    	lemon juice	RXNorm
100	C1960278    	reconcile	RXNorm
101	C4321332    	cyanide	RXNorm
102	C0029112    	opium	RXNorm
103	C3665632    	deca	RXNorm
104	C0056057    	cocoa butter	RXNorm
105	C0937941    	cider vinegar	RXNorm
106	C0001962    	ethanol	RXNorm
107	C1178459    	apple cider vinegar	RXNorm
108	C0993595    	enema	RXNorm
109	C2946438    	meijer	RXNorm
110	C2608623    	sorbet	RXNorm
111	C0069962    	palm oil	RXNorm
112	C0723948    	tucks	RXNorm
113	C0074445    	shellac	RXNorm
114	C1875156    	flanders	RXNorm
115	C0026647    	mouthwash	RXNorm
116	C0740230    	triad	RXNorm
117	C0086555    	licorice	RXNorm
118	C0028912    	ointment	RXNorm
119	C0007018    	carbon monoxide	RXNorm
120	C0719988    	docu	RXNorm
121	C1962041    	berman	RXNorm
122	C0041383    	tungsten	RXNorm
123	C0007012    	carbon dioxide	RXNorm
124	C0010286    	creatine	RXNorm
125	C2975054    	argan oil	RXNorm
126	C0035031    	relaxin	RXNorm
127	C0015846    	fentanyl	RXNorm
128	C0038179    	starch	RXNorm
129	C0065081    	listerine	RXNorm
130	C0452459    	pineapple juice	RXNorm
131	C0026370    	molasses	RXNorm
132	C0061764    	glyphosate	RXNorm
133	C1962053    	visage	RXNorm
134	C0038774    	sulfur	RXNorm
135	C0013030    	dopamine	RXNorm
136	C0022611    	kerosene	RXNorm
137	C2946699    	epoch	RXNorm
138	C0699187    	valium	RXNorm
139	C0003818    	arsenic	RXNorm
140	C0036751    	serotonin	RXNorm
141	C0171998    	noggin	RXNorm
142	C0036581    	selenium	RXNorm
143	C0035493    	rhodium	RXNorm
144	C0483514    	vicodin	RXNorm
145	C3473406    	clarus	RXNorm
146	C0042553    	versed	RXNorm
147	C0723285    	septa	RXNorm
148	C0723950    	tums	RXNorm
149	C0487782    	ambien	RXNorm
150	C0162373    	prozac	RXNorm
151	C0718291    	afrin	RXNorm
152	C0037098    	silica	RXNorm
153	C0591454    	epipen	RXNorm
154	C0729252    	estar	RXNorm
155	C0720023    	doral	RXNorm
156	C0004924    	beeswax	RXNorm
157	C0025368    	menthol	RXNorm
158	C0042874    	vitamin e	RXNorm
159	C0086787    	percocet	RXNorm
160	C0002607    	ammonia	RXNorm
161	C3667684    	tena	RXNorm
162	C0016745    	fructose	RXNorm
163	C1256453    	solis	RXNorm
164	C0003999    	aspartame	RXNorm
165	C0017237    	gelatin	RXNorm
166	C1112870    	aerosol	RXNorm
167	C0040610    	tramadol	RXNorm
168	C0718413    	alor	RXNorm
169	C0720317    	everone	RXNorm
170	C0699141    	panadol	RXNorm
171	C0719714    	degas	RXNorm
172	C0007343    	castor oil	RXNorm
173	C0022614    	ketamine	RXNorm
174	C1110594    	allegra	RXNorm
175	C0022071    	iridium	RXNorm
176	C3543409    	loris	RXNorm
177	C0008574    	chromium	RXNorm
178	C0017817    	glutathione	RXNorm
179	C0041964    	urethane	RXNorm
180	C0021968    	iodine	RXNorm
181	C3268229    	rembrandt	RXNorm
182	C0220892    	penicillin	RXNorm
183	C0005575    	biotin	RXNorm
184	C0216194    	tea tree oil	RXNorm
185	C3249761    	zzzquil	RXNorm
186	C3488922    	cassava	RXNorm
187	C0030095    	oxytocin	RXNorm
188	C2946806    	purell	RXNorm
189	C0031705    	phosphorus	RXNorm
190	C1095785    	spirulina	RXNorm
191	C0000975    	acetate	RXNorm
192	C1620450    	accu	RXNorm
193	C2948930    	proactiv	RXNorm
194	C0025605    	methadone	RXNorm
195	C0790024    	corn syrup	RXNorm
196	C0033405    	promethazine	RXNorm
197	C0039994    	thorium	RXNorm
198	C3666917    	fiore	RXNorm
199	C0008238    	chloroform	RXNorm
200	C0030415    	paraffin	RXNorm
201	C0042839    	vitamin a	RXNorm
202	C1963284    	adrenalin	RXNorm
203	C0032259    	plutonium	RXNorm
204	C0015075    	ethylene	RXNorm
205	C0309312    	interceptor	RXNorm
206	C0947661    	beano	RXNorm
207	C2697922    	lime juice	RXNorm
208	C1601218    	ambi	RXNorm
209	C0722364    	oxycontin	RXNorm
210	C0003781    	argon	RXNorm
211	C2954564    	suppressor	RXNorm
212	C0722140    	norco	RXNorm
213	C0728759    	ritalin	RXNorm
214	C0701055    	claritin	RXNorm
215	C0006474    	butane	RXNorm
216	C0718343    	aleve	RXNorm
217	C0939882    	kava	RXNorm
218	C0718970    	blistex	RXNorm
219	C3531219    	skyla	RXNorm
220	C3541864    	strix	RXNorm
221	C0073589    	rosin	RXNorm
222	C0720328    	excedrin	RXNorm
223	C0039267    	talc	RXNorm
224	C0699203    	motrin	RXNorm
225	C0016564    	formaldehyde	RXNorm
226	C0027599    	neodymium	RXNorm
227	C1587924    	linde	RXNorm
228	C3264698    	recede	RXNorm
229	C0452460    	tomato juice	RXNorm
230	C0028215    	nitrous oxide	RXNorm
231	C3256421    	mango juice	RXNorm
232	C0939278    	capex	RXNorm
233	C0730931    	univer	RXNorm
234	C1802535    	potash	RXNorm
235	C1570232    	lyrica	RXNorm
236	C0723110    	robitussin	RXNorm
237	C0699632    	dettol	RXNorm
238	C0349375    	skim milk	RXNorm
239	C1617247    	antara	RXNorm
240	C0020281    	hydrogen peroxide	RXNorm
241	C0991583    	tincture	RXNorm
242	C1170407    	mucinex	RXNorm
243	C1815331    	inova	RXNorm
244	C2961551    	stye	RXNorm
245	C2722017    	bean extract	RXNorm
246	C0025611    	methamphetamine	RXNorm
247	C0038515    	styrene	RXNorm
248	C0730881    	rogaine	RXNorm
249	C0032952    	prednisone	RXNorm
250	C1831755    	culturelle	RXNorm
251	C0043125    	west nile virus	RXNorm
252	C0010467    	curcumin	RXNorm
253	C1588717    	balancer	RXNorm
254	C0072221    	propylene	RXNorm
255	C1948412    	theraflu	RXNorm
256	C0002645    	amoxicillin	RXNorm
257	C0017861    	glycerin	RXNorm
258	C0284660    	zoloft	RXNorm
259	C0001002    	acetone	RXNorm
260	C0699581    	accutane	RXNorm
261	C0301421    	witch hazel	RXNorm
262	C0017718    	glucosamine	RXNorm
263	C0065896    	melamine	RXNorm
264	C0033382    	proline	RXNorm
265	C1876807    	vyvanse	RXNorm
266	C0722858    	propecia	RXNorm
267	C1724509    	obagi	RXNorm
268	C0027358    	naloxone	RXNorm
269	C0875963    	apri	RXNorm
270	C1174890    	levitra	RXNorm
271	C0011185    	dhea	RXNorm
272	C3531069    	carrot juice	RXNorm
273	C0041942    	urea	RXNorm
274	C0700727    	sudafed	RXNorm
275	C0718362    	allay	RXNorm
276	C3486420    	kwai	RXNorm
277	C0016410    	folic acid	RXNorm
278	C1964473    	sojourn	RXNorm
279	C0014479    	ephedrine	RXNorm
280	C3473168    	rexall	RXNorm
281	C2341363    	ricola	RXNorm
282	C1589557    	doxy	RXNorm
283	C2369738    	oris	RXNorm
284	C0028128    	nitric oxide	RXNorm
285	C0162723    	zyrtec	RXNorm
286	C0030049    	oxycodone	RXNorm
287	C0006632    	cadmium	RXNorm
288	C0733853    	visine	RXNorm
289	C1703106    	carles	RXNorm
290	C0020264    	hydrocodone	RXNorm
291	C0031938    	pine tar	RXNorm
292	C0000970    	acetaminophen	RXNorm
293	C0002658    	amphetamine	RXNorm
294	C0684237    	narcan	RXNorm
295	C0591219    	calpol	RXNorm
296	C0070325    	peppermint oil	RXNorm
297	C0008260    	chlorophyll	RXNorm
298	C0073096    	resveratrol	RXNorm
299	C0002611    	ammonium	RXNorm
300	C0034625    	radium	RXNorm
301	C0078045    	vaporub	RXNorm
302	C0003765    	arginine	RXNorm
303	C0004749    	barium	RXNorm
304	C0722517    	pedialyte	RXNorm
305	C0591084    	amrit	RXNorm
306	C0452456    	grapefruit juice	RXNorm
307	C0721519    	magan	RXNorm
308	C0025598    	metformin	RXNorm
309	C0006030    	boron	RXNorm
310	C0718402    	almora	RXNorm
311	C0028460    	novocaine	RXNorm
312	C0720406    	fera	RXNorm
313	C0730987    	exelon	RXNorm
314	C0010137    	cortisone	RXNorm
315	C0017797    	glutamine	RXNorm
316	C0031447    	phentermine	RXNorm
317	C0001275    	activated charcoal	RXNorm
318	C0376261    	lactate	RXNorm
319	C2927181    	jalyn	RXNorm
320	C0007648    	cellulose	RXNorm
321	C3834216    	afrezza	RXNorm
322	C0068536    	neosporin	RXNorm
323	C2726892    	claris	RXNorm
324	C0072604    	pumice	RXNorm
325	C0024706    	manganese	RXNorm
326	C0699194    	ativan	RXNorm
327	C0678143    	zithromax	RXNorm
328	C0102271    	almond oil	RXNorm
329	C2981326    	high fructose corn syrup	RXNorm
330	C0376414    	paxil	RXNorm
331	C1170371    	lexapro	RXNorm
332	C0033308    	progesterone	RXNorm
333	C1170625    	suboxone	RXNorm
334	C0001963    	methanol	RXNorm
335	C1602144    	xpect	RXNorm
336	C0038854    	suppository	RXNorm
337	C2947557    	esca	RXNorm
338	C2978013    	makena	RXNorm
339	C0939400    	nexium	RXNorm
340	C1589171    	wallach	RXNorm
341	C0007010    	carbon black	RXNorm
342	C0027996    	niacin	RXNorm
343	C1330145    	clearskin	RXNorm
344	C0939689    	compro	RXNorm
345	C0007258    	carnitine	RXNorm
346	C3265062    	vitamin d3	RXNorm
347	C0699315    	klonopin	RXNorm
348	C1384515    	cornstarch	RXNorm
349	C0041249    	tryptophan	RXNorm
350	C0005139    	beryllium	RXNorm
351	C0795585    	bee pollen	RXNorm
352	C2946537    	softsoap	RXNorm
353	C0592278    	zantac	RXNorm
354	C0005642    	bismuth	RXNorm
355	C0064694    	lavender oil	RXNorm
356	C0591268    	clomid	RXNorm
357	C0722287    	orajel	RXNorm
358	C0023660    	lidocaine	RXNorm
359	C0718414    	alora	RXNorm
360	C0591177    	betim	RXNorm
361	C0005018    	bentonite	RXNorm
362	C0005036    	benzene	RXNorm
363	C0042306    	vanadium	RXNorm
364	C0718870    	bengay	RXNorm
365	C0720523    	four-way	RXNorm
366	C0699992    	lasix	RXNorm
367	C1741448    	salonpas	RXNorm
368	C0701091    	corwin	RXNorm
369	C1721787    	gardasil	RXNorm
370	C0286677    	flonase	RXNorm
371	C3248046    	intermezzo	RXNorm
372	C1323229    	comox	RXNorm
373	C1170075    	avage	RXNorm
374	C0042878    	vitamin k	RXNorm
375	C0299583    	leptin	RXNorm
376	C0178638    	folate	RXNorm
377	C0033488    	propolis	RXNorm
378	C0039462    	tellurium	RXNorm
379	C0376259    	citrate	RXNorm
380	C3247586    	biore	RXNorm
381	C0590658    	adalat	RXNorm
382	C0529793    	sildenafil	RXNorm
383	C0074127    	scarlet red	RXNorm
384	C0012010    	diazepam	RXNorm
385	C0309992    	quartermaster	RXNorm
386	C0085934    	wellbutrin	RXNorm
387	C0385317    	sensodyne	RXNorm
388	C0043369    	xylitol	RXNorm
389	C0055819    	citric acid	RXNorm
390	C0718635    	aquaphor	RXNorm
391	C0054599    	canola oil	RXNorm
392	C0017479    	germanium	RXNorm
393	C0036845    	sesame oil	RXNorm
394	C0591410    	dramamine	RXNorm
395	C1119842    	garlic powder	RXNorm
396	C1327962    	pomegranate juice	RXNorm
397	C0001927    	albuterol	RXNorm
398	C0006809    	camphor	RXNorm
399	C0036079    	salicylic acid	RXNorm
400	C0073603    	royal jelly	RXNorm
401	C0041980    	uric acid	RXNorm
402	C0593906    	lipitor	RXNorm
403	C4074328    	guava juice	RXNorm
404	C1815268    	biofreeze	RXNorm
405	C0043031    	warfarin	RXNorm
406	C0876742    	icar	RXNorm
407	C4056538    	tolak	RXNorm
408	C1170019    	abilify	RXNorm
409	C0591811    	mirena	RXNorm
410	C0027396    	naproxen	RXNorm
411	C3265002    	avocado oil	RXNorm
412	C0039736    	thalidomide	RXNorm
413	C0016980    	gallium	RXNorm
414	C0876173    	tamiflu	RXNorm
415	C0038636    	sucrose	RXNorm
416	C0220873    	malate	RXNorm
417	C0701400    	nicorette	RXNorm
418	C0591437    	effexor	RXNorm
419	C0982074    	cherry juice	RXNorm
420	C0061146    	gaviscon	RXNorm
421	C0041411    	turpentine	RXNorm
422	C0591635    	imodium	RXNorm
423	C0026196    	minoxidil	RXNorm
424	C2718733    	cambia	RXNorm
425	C0700777    	prilosec	RXNorm
426	C2939820    	saltaire	RXNorm
427	C1505021    	cymbalta	RXNorm
428	C0591081    	amix	RXNorm
429	C0025559    	metamucil	RXNorm
430	C0592240    	vagisil	RXNorm
431	C3528069    	clario	RXNorm
432	C1723005    	opana	RXNorm
433	C0721686    	meted	RXNorm
434	C0772453    	grape seed	RXNorm
435	C0038784    	sulfuric acid	RXNorm
436	C1171255    	humira	RXNorm
437	C3555479    	coconut juice	RXNorm
438	C0017911    	glycogen	RXNorm
439	C1962090    	kirwan	RXNorm
440	C0163069    	eucalyptus oil	RXNorm
441	C0003765    	l-arginine	RXNorm
442	C0019588    	histamine	RXNorm
443	C0701042    	cipro	RXNorm
444	C0287163    	seroquel	RXNorm
445	C2949559    	picot	RXNorm
446	C0013765    	elastin	RXNorm
447	C0013090    	doxycycline	RXNorm
448	C0308335    	animax	RXNorm
449	C0733877    	lactaid	RXNorm
450	C0060926    	gabapentin	RXNorm
451	C0036580    	selenite	RXNorm
452	C0033744    	ventolin	RXNorm
453	C0024337    	lysine	RXNorm
454	C0357929    	calamine	RXNorm
455	C0038467    	strontium	RXNorm
456	C0009213    	cod liver oil	RXNorm
457	C0007886    	cesium	RXNorm
458	C0453260    	ginger root	RXNorm
459	C0060389    	finasteride	RXNorm
460	C0001898    	alanine	RXNorm
461	C1614132    	zmax	RXNorm
462	C3265587    	nioxin	RXNorm
463	C0014563    	epinephrine	RXNorm
464	C0719198    	celebrex	RXNorm
465	C0058676    	dolomite	RXNorm
466	C0087163    	l-carnitine	RXNorm
467	C0035973    	ruthenium	RXNorm
468	C0591139    	bactrim	RXNorm
469	C0592286    	zinga	RXNorm
470	C0043458    	zein	RXNorm
471	C1968366    	bracco	RXNorm
472	C0014912    	estradiol	RXNorm
473	C3700886    	strawberry juice	RXNorm
474	C0051166    	alka-seltzer	RXNorm
475	C0043328    	lutein	RXNorm
476	C0592245    	valtrex	RXNorm
477	C0723050    	revex	RXNorm
478	C0070203    	pectin	RXNorm
479	C4026142    	peach juice	RXNorm
480	C0068407    	naphtha	RXNorm
481	C0039350    	taurine	RXNorm
482	C0939329    	dynex	RXNorm
483	C0020259    	hydrochloric acid	RXNorm
484	C0052796    	azithromycin	RXNorm
485	C0026402    	molybdenum	RXNorm
486	C0006405    	buprenorphine	RXNorm
487	C0043506    	zirconium	RXNorm
488	C1171375    	suspen	RXNorm
489	C0700524    	amoxil	RXNorm
490	C0023754    	linseed	RXNorm
491	C2741598    	covera	RXNorm
492	C0008405    	choline	RXNorm
493	C0016330    	fluorine	RXNorm
494	C0242865    	ambergris	RXNorm
495	C0206046    	zofran	RXNorm
496	C0034417    	quinine	RXNorm
497	C0728762    	synthroid	RXNorm
498	C1966103    	azor	RXNorm
499	C0724054    	ultram	RXNorm
500	C0037494    	sodium chloride	RXNorm
501	C0718617    	apra	RXNorm
502	C0006937    	captan	RXNorm
503	C0039286    	tamoxifen	RXNorm
504	C0015518    	factor x	RXNorm
505	C2608260    	latisse	RXNorm
506	C0006223    	bromine	RXNorm
507	C0723778    	topamax	RXNorm
508	C0065331    	lycopene	RXNorm
509	C0026156    	mineral oil	RXNorm
510	C0010303    	creosote	RXNorm
511	C0878399    	tylan	RXNorm
512	C0718841    	baza	RXNorm
513	C0017890    	glycine	RXNorm
514	C0052300    	peanut oil	RXNorm
515	C0719754    	depen	RXNorm
516	C2725341    	krill oil	RXNorm
517	C0699129    	coumadin	RXNorm
518	C0027360    	naltrexone	RXNorm
519	C1704263    	green tea extract	RXNorm
520	C0719199    	celexa	RXNorm
521	C0025677    	methotrexate	RXNorm
522	C0699439    	nizoral	RXNorm
523	C4020111    	kybella	RXNorm
524	C0003968    	ascorbic acid	RXNorm
525	C2242322    	clearasil	RXNorm
526	C0106900    	bonjela	RXNorm
527	C1712042    	chantix	RXNorm
528	C0028978    	omeprazole	RXNorm
529	C2742475    	palladia	RXNorm
530	C0699065    	thorazine	RXNorm
531	C0662903    	flomax	RXNorm
532	C0033487    	propofol	RXNorm
533	C2946820    	frais	RXNorm
534	C0066677    	modafinil	RXNorm
535	C0723021    	renova	RXNorm
536	C0220839    	glutamate	RXNorm
537	C0592071    	risperdal	RXNorm
538	C0074393    	sertraline	RXNorm
539	C0075639    	sunflower oil	RXNorm
540	C1589647    	buckleys	RXNorm
541	C0718641    	aquest	RXNorm
542	C0965130    	advair	RXNorm
543	C0005088    	benzoyl peroxide	RXNorm
544	C0001443    	adenosine	RXNorm
545	C0006931    	capsaicin	RXNorm
546	C1950715    	oregano oil	RXNorm
547	C0001052    	acetylene	RXNorm
548	C2978364    	dofus	RXNorm
549	C1176316    	tadalafil	RXNorm
550	C0526034    	dostinex	RXNorm
551	C0006837    	candida albicans	RXNorm
552	C0699958    	voltaren	RXNorm
553	C0076275    	orlistat	RXNorm
554	C0699601    	diflucan	RXNorm
555	C1177005    	monistat	RXNorm
556	C0723986    	tussin	RXNorm
557	C0008845    	citalopram	RXNorm
558	C0875954    	actos	RXNorm
559	C0016365    	fluoxetine	RXNorm
560	C2741089    	propet	RXNorm
561	C0039840    	thiamine	RXNorm
562	C0022683    	diatomaceous earth	RXNorm
563	C3152377    	aquafresh	RXNorm
564	C1741472    	nariz	RXNorm
565	C4018433    	silvera	RXNorm
566	C1528494    	truvada	RXNorm
567	C3651902    	touro	RXNorm
568	C0136074    	pepto-bismol	RXNorm
569	C0633084    	plavix	RXNorm
570	C0595471    	tarka	RXNorm
571	C0700517    	keflex	RXNorm
572	C0724157    	urso	RXNorm
573	C1098080    	crestor	RXNorm
574	C1328245    	iscar	RXNorm
575	C0700935    	calan	RXNorm
576	C3159309    	xarelto	RXNorm
577	C1337244    	emu oil	RXNorm
578	C0724442    	yoman	RXNorm
579	C3855203    	keytruda	RXNorm
580	C0009011    	clonazepam	RXNorm
581	C0020268    	hydrocortisone	RXNorm
582	C0040805    	trazodone	RXNorm
583	C0591416    	dulcolax	RXNorm
584	C0699710    	premarin	RXNorm
585	C0023024    	lanolin	RXNorm
586	C0017687    	glucagon	RXNorm
587	C0022938    	lactobacillus	RXNorm
588	C0069451    	olivine	RXNorm
589	C0034977    	reglan	RXNorm
590	C0010294    	creatinine	RXNorm
591	C3665462    	raw sugar	RXNorm
592	C0038172    	staphylococcus aureus	RXNorm
593	C0087162    	vitamin b6	RXNorm
594	C0012265    	digoxin	RXNorm
595	C1175300    	emend	RXNorm
596	C0065374    	lisinopril	RXNorm
597	C0067044    	mylanta	RXNorm
598	C1589178    	orso	RXNorm
599	C0591636    	inderal	RXNorm
600	C0036720    	serine	RXNorm
601	C0591652    	intal	RXNorm
602	C0732649    	xenical	RXNorm
603	C0025646    	methionine	RXNorm
604	C0041485    	tyrosine	RXNorm
605	C0724122    	unisom	RXNorm
606	C0699352    	estrace	RXNorm
607	C0595724    	singulair	RXNorm
608	C3249347    	clenziderm	RXNorm
609	C0009262    	colchicine	RXNorm
610	C0678180    	lamictal	RXNorm
611	C0017887    	nitroglycerin	RXNorm
612	C1330526    	secura	RXNorm
613	C0678176    	neurontin	RXNorm
614	C3160197    	revitol	RXNorm
615	C0591132    	augmentin	RXNorm
616	C0728755    	dilaudid	RXNorm
617	C0718748    	avita	RXNorm
618	C0721336    	levaquin	RXNorm
619	C0919390    	nolvadex	RXNorm
620	C0016157    	fish oils	RXNorm
621	C0016860    	furosemide	RXNorm
622	C0037732    	soybean oil	RXNorm
623	C0003729    	arbutin	RXNorm
624	C0033371    	prolactin	RXNorm
625	C1176237    	exubera	RXNorm
626	C0011777    	dexamethasone	RXNorm
627	C0025010    	measles vaccine	RXNorm
628	C0724156    	ursinus	RXNorm
629	C3872108    	opdivo	RXNorm
630	C1638367    	lansinoh	RXNorm
631	C2978547    	pretz	RXNorm
632	C0002600    	amitriptyline	RXNorm
633	C1971817    	chloraseptic	RXNorm
634	C0720371    	fastin	RXNorm
635	C0043491    	zinc oxide	RXNorm
636	C0721044    	imitrex	RXNorm
637	C0721215    	kaon	RXNorm
638	C0070570    	phenol	RXNorm
639	C0286036    	prevacid	RXNorm
640	C1529255    	decongest	RXNorm
641	C0721298    	lamisil	RXNorm
642	C0055809    	citral	RXNorm
643	C0001407    	adenine	RXNorm
644	C0028101    	niobium	RXNorm
645	C0085208    	bupropion	RXNorm
646	C0728797    	flexeril	RXNorm
647	C0718215    	acidophilus	RXNorm
648	C0070166    	clopidogrel	RXNorm
649	C1611331    	malvin	RXNorm
650	C0077046    	sucralose	RXNorm
651	C0699702    	provera	RXNorm
652	C0024002    	lorazepam	RXNorm
653	C0591894    	nytol	RXNorm
654	C0008282    	piriton	RXNorm
655	C0723012    	remicade	RXNorm
656	C0035976    	rutin	RXNorm
657	C0304113    	rose oil	RXNorm
658	C0304108    	lemon oil	RXNorm
659	C0052565    	astaxanthin	RXNorm
660	C0008240    	chlorogenic acid	RXNorm
661	C0591971    	phenergan	RXNorm
662	C0039644    	tetracycline	RXNorm
663	C0063204    	hylan	RXNorm
664	C0031617    	lecithin	RXNorm
665	C0039297    	tantalum	RXNorm
666	C0040958    	triclosan	RXNorm
667	C0015205    	evans blue	RXNorm
668	C0699678    	flagyl	RXNorm
669	C0076380    	theanine	RXNorm
670	C0001367    	acyclovir	RXNorm
671	C0019134    	heparin	RXNorm
672	C0023401    	leucine	RXNorm
673	C0070455    	permethrin	RXNorm
674	C0012091    	diclofenac	RXNorm
675	C1744678    	nuvaring	RXNorm
676	C0939301    	concerta	RXNorm
677	C0022322    	ivermectin	RXNorm
678	C0678129    	axid	RXNorm
679	C0720526    	freezone	RXNorm
680	C0021223    	indium	RXNorm
681	C0718644    	arava	RXNorm
682	C0010029    	corn oil	RXNorm
683	C0073057    	rennet	RXNorm
684	C3159354    	nexplanon	RXNorm
685	C0008932    	clenbuterol	RXNorm
686	C0723595    	tace	RXNorm
687	C2946885    	pepsodent	RXNorm
688	C0028906    	clove oil	RXNorm
689	C1815365    	mentholatum	RXNorm
690	C1601994    	centex	RXNorm
691	C0684229    	atarax	RXNorm
692	C0002374    	aluminum oxide	RXNorm
693	C0007716    	cephalexin	RXNorm
694	C1170736    	zetia	RXNorm
695	C0591114    	artane	RXNorm
696	C0591057    	alexan	RXNorm
697	C0591162    	benylin	RXNorm
698	C0037502    	voltarol	RXNorm
699	C0040165    	levothyroxine	RXNorm
700	C0720319    	ex-lax	RXNorm
701	C0023742    	liniment	RXNorm
702	C0700011    	motilium	RXNorm
703	C1176420    	strattera	RXNorm
704	C0003380    	antimony	RXNorm
705	C0009008    	clomiphene	RXNorm
706	C0009074    	clotrimazole	RXNorm
707	C1579761    	lunesta	RXNorm
708	C0678119    	pepcid	RXNorm
709	C0591427    	dysport	RXNorm
710	C0029383    	osmium	RXNorm
711	C2609465    	tribulus	RXNorm
712	C0070122    	paroxetine	RXNorm
713	C2962237    	expecta	RXNorm
714	C0633854    	fioricet	RXNorm
715	C0699926    	robaxin	RXNorm
716	C0719356    	clarine	RXNorm
717	C0009079    	clozapine	RXNorm
718	C1519185    	sarna	RXNorm
719	C3256286    	macadamia oil	RXNorm
720	C1135130    	avastin	RXNorm
721	C0012373    	diltiazem	RXNorm
722	C0591554    	galfer	RXNorm
723	C0678181    	zocor	RXNorm
724	C0591130    	atrovent	RXNorm
725	C0022046    	ipecac	RXNorm
726	C0078569    	venlafaxine	RXNorm
727	C1617275    	cornsilk	RXNorm
728	C0040845    	tretinoin	RXNorm
729	C0008809    	ciprofloxacin	RXNorm
730	C1873679    	alera	RXNorm
731	C0022499    	kaolin	RXNorm
732	C0721450    	lozol	RXNorm
733	C0000983    	acetic acid	RXNorm
734	C0949307    	formalin	RXNorm
735	C0876060    	keppra	RXNorm
736	C0594492    	nasonex	RXNorm
737	C0039738    	thallium	RXNorm
738	C0021344    	human papillomavirus	RXNorm
739	C1122245    	benicar	RXNorm
740	C0701914    	desyrel	RXNorm
741	C0875952    	aciphex	RXNorm
742	C0016277    	fluconazole	RXNorm
743	C0027289    	nadh	RXNorm
744	C0076829    	topiramate	RXNorm
745	C0050587    	acrylamide	RXNorm
746	C2980272    	exuviance	RXNorm
